Designator,Mid X,Mid Y,Rotation,Layer
C1,132.5,-89.25,180.0,top
C19,140.0,-99.75,180.0,top
C2,132.5,-87.5,180.0,top
C20,132.75,-92.5,270.0,top
C3,155.775,-67.5,0.0,top
C4,152.5,-56.5,0.0,top
C5,152.5,-57.75,180.0,top
C6,146.25,-111.75,180.0,top
C9,131.5,-68.5,180.0,top
J1,160.69,-73.79,90.0,top
J2,145.66,-57.09,180.0,top
R1,161.25,-84.25,90.0,top
R10,148.75,-94.25,270.0,top
R12,144.0,-99.75,0.0,top
R13,150.5,-90.75,90.0,top
R14,136.5,-107.25,270.0,top
R23,136.25,-95.75,270.0,top
R24,136.250001,-92.5,270.0,top
R3,135.75,-68.5,180.0,top
R4,149.5,-88.25,0.0,top
R5,147.66,-61.82,270.0,top
R6,149.5,-85.5,180.0,top
R7,156.5,-90.25,180.0,top
R8,143.91,-61.82,270.0,top
R9,148.75,-90.75,270.0,top
U1,145.91,-62.25,270.0,top
U2,156.0,-62.5,90.0,top
U3,139.6473,-78.25,90.0,top
U4,142.3712,-93.895,270.0,top
U5,158.5,-96.675,270.0,top
U6,133.006201,-121.75,270.0,top
